iter	Passed	Remaining
0	13393	4004699
1	28055	4180238
2	42462	4203788
3	55875	4134761
4	69845	4120874
5	83966	4114342
6	99288	4155927
7	112549	4108041
8	126162	4079251
9	140630	4078277
10	154678	4063824
11	170182	4084391
12	185127	4087048
13	198857	4062380
14	211596	4020336
15	224449	3983980
16	239109	3980472
17	252331	3953189
18	265778	3930725
19	279371	3911199
20	292414	3884937
21	305981	3866497
22	320829	3863906
23	334067	3841777
24	348828	3837117
25	363181	3827376
26	377904	3821037
27	392658	3814399
28	407832	3811125
29	422140	3799263
30	435864	3782178
31	449428	3763964
32	463140	3747228
33	476399	3727122
34	489781	3708349
35	504403	3698958
36	517937	3681557
37	533472	3678152
38	548331	3669601
39	562198	3654292
40	575732	3636942
41	589649	3622131
42	604413	3612423
43	617290	3591505
44	631957	3581092
45	647012	3572633
46	661923	3563121
47	675720	3547533
48	690410	3536592
49	704000	3520003
50	718608	3508502
51	732865	3495205
52	747008	3481341
53	762272	3472573
54	775765	3455680
55	789327	3439214
56	803649	3426086
57	818353	3414507
58	832340	3399899
59	845553	3382214
60	859451	3367357
61	872932	3350935
62	886544	3335097
63	901296	3323530
64	914527	3306369
65	928360	3291458
66	942564	3277875
67	956572	3263600
68	970843	3250214
69	984965	3236313
70	999591	3224035
71	1013463	3209300
72	1027487	3195063
73	1041612	3181139
74	1054996	3164990
75	1068969	3150647
76	1083099	3136768
77	1096787	3121624
78	1110147	3105601
79	1124436	3092200
80	1138028	3076892
81	1152247	3063292
82	1166000	3048460
83	1178616	3030727
84	1191654	3014184
85	1205330	2999309
86	1218801	2983962
87	1232393	2968948
88	1246199	2954473
89	1260952	2942223
90	1275248	2928867
91	1288836	2913891
92	1302859	2899912
93	1317749	2887834
94	1332634	2875684
95	1346190	2860654
96	1361043	2848369
97	1374687	2833540
98	1388886	2819859
99	1403734	2807469
100	1418596	2795057
101	1432866	2781446
102	1447573	2768659
103	1461577	2754511
104	1476227	2741565
105	1493445	2733287
106	1507929	2719909
107	1522013	2705800
108	1536226	2691919
109	1549474	2676365
110	1562989	2661306
111	1576923	2646977
112	1589861	2631010
113	1602841	2615163
114	1617292	2601732
115	1631110	2587278
116	1644074	2571501
117	1658500	2558026
118	1672470	2543841
119	1687220	2530831
120	1701117	2516529
121	1715452	2502872
122	1728630	2487542
123	1742336	2472994
124	1756601	2459242
125	1770027	2444323
126	1784304	2430587
127	1800414	2419307
128	1815067	2406019
129	1830612	2393877
130	1845322	2380607
131	1858172	2364946
132	1870986	2349283
133	1884628	2334688
134	1897421	2319070
135	1909759	2302944
136	1922640	2287521
137	1935148	2271696
138	1947850	2256143
139	1961491	2241704
140	1974709	2226799
141	1987667	2211629
142	2000677	2196548
143	2015165	2183095
144	2028192	2168067
145	2040840	2152667
146	2054708	2138574
147	2067995	2123886
148	2081645	2109586
149	2094797	2094797
150	2105593	2077705
151	2114921	2059265
152	2125432	2042082
153	2140971	2029752
154	2151639	2012824
155	2161341	1995084
156	2171316	1977695
157	2180988	1960129
158	2190367	1942401
159	2202853	1927496
160	2211661	1909446
161	2222810	1893505
162	2235896	1879250
163	2249627	1865544
164	2263873	1852259
165	2277740	1838658
166	2290708	1824337
167	2304651	1810797
168	2317256	1796216
169	2330397	1782068
