filename,label,hands,preprocess,confidence,quality_score,status,reasons
! (1).png,!,0,,0,0,REJECT,el_bulunamadi
! (10).png,!,0,,0,0,REJECT,el_bulunamadi
! (100).png,!,2,original,0.9681174457073212,100,ACCEPT,
! (101).png,!,2,original,0.8997601866722107,100,ACCEPT,
! (102).png,!,2,original,0.8805355727672577,100,ACCEPT,
! (103).png,!,2,2x_clahe,0.9702179431915283,100,ACCEPT,
! (104).png,!,2,original,0.9590918719768524,100,ACCEPT,
! (105).png,!,2,original,0.9810667932033539,100,ACCEPT,
! (11).png,!,0,,0,0,REJECT,el_bulunamadi
! (12).png,!,1,original,0.9872674942016602,100,ACCEPT,
! (13).png,!,0,,0,0,REJECT,el_bulunamadi
! (14).png,!,0,,0,0,REJECT,el_bulunamadi
! (15).png,!,1,original,0.9887081384658813,100,ACCEPT,
! (16).png,!,1,original,0.9977256655693054,100,ACCEPT,
! (17).png,!,0,,0,0,REJECT,el_bulunamadi
! (18).png,!,0,,0,0,REJECT,el_bulunamadi
! (19).png,!,0,,0,0,REJECT,el_bulunamadi
! (2).png,!,0,,0,0,REJECT,el_bulunamadi
! (20).png,!,0,,0,0,REJECT,el_bulunamadi
! (21).png,!,0,,0,0,REJECT,el_bulunamadi
! (22).png,!,0,,0,0,REJECT,el_bulunamadi
! (23).png,!,0,,0,0,REJECT,el_bulunamadi
! (24).png,!,0,,0,0,REJECT,el_bulunamadi
! (25).png,!,0,,0,0,REJECT,el_bulunamadi
! (26).png,!,0,,0,0,REJECT,el_bulunamadi
! (27).png,!,1,3x,0.9356451034545898,100,ACCEPT,
! (28).png,!,1,2x_clahe,0.9992598295211792,100,ACCEPT,
! (29).png,!,1,original,0.9806088805198669,100,ACCEPT,
! (3).png,!,0,,0,0,REJECT,el_bulunamadi
! (30).png,!,1,original,0.933781623840332,100,ACCEPT,
! (31).png,!,2,original,0.965142160654068,100,ACCEPT,
! (32).png,!,2,original,0.9877585172653198,100,ACCEPT,
! (33).png,!,2,original,0.9232285618782043,100,ACCEPT,
! (34).png,!,2,original,0.7682505249977112,100,ACCEPT,
! (35).png,!,1,2x_clahe,0.9941426515579224,100,ACCEPT,
! (36).png,!,1,2x,0.845441460609436,100,ACCEPT,
! (37).png,!,1,original,0.9878348708152771,100,ACCEPT,
! (38).png,!,2,original,0.7722570598125458,100,ACCEPT,
! (39).png,!,1,original,0.987863302230835,100,ACCEPT,
! (4).png,!,0,,0,0,REJECT,el_bulunamadi
! (40).png,!,1,2x_clahe,0.9754899144172668,100,ACCEPT,
! (41).png,!,2,original,0.8272424936294556,100,ACCEPT,
